[2023-07-09T08:51:37.705+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: etl_dag.apply_pca manual__2023-07-09T08:51:25.990801+00:00 [queued]>
[2023-07-09T08:51:37.719+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: etl_dag.apply_pca manual__2023-07-09T08:51:25.990801+00:00 [queued]>
[2023-07-09T08:51:37.720+0000] {taskinstance.py:1308} INFO - Starting attempt 1 of 1
[2023-07-09T08:51:37.737+0000] {taskinstance.py:1327} INFO - Executing <Task(PythonOperator): apply_pca> on 2023-07-09 08:51:25.990801+00:00
[2023-07-09T08:51:37.744+0000] {standard_task_runner.py:57} INFO - Started process 3155 to run task
[2023-07-09T08:51:37.747+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'etl_dag', 'apply_pca', 'manual__2023-07-09T08:51:25.990801+00:00', '--job-id', '130', '--raw', '--subdir', 'DAGS_FOLDER/test.py', '--cfg-path', '/tmp/tmp__7z41rq']
[2023-07-09T08:51:37.748+0000] {standard_task_runner.py:85} INFO - Job 130: Subtask apply_pca
[2023-07-09T08:51:37.798+0000] {task_command.py:410} INFO - Running <TaskInstance: etl_dag.apply_pca manual__2023-07-09T08:51:25.990801+00:00 [running]> on host 5865fe7b5e5b
[2023-07-09T08:51:38.049+0000] {taskinstance.py:1547} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='etl_dag' AIRFLOW_CTX_TASK_ID='apply_pca' AIRFLOW_CTX_EXECUTION_DATE='2023-07-09T08:51:25.990801+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2023-07-09T08:51:25.990801+00:00'
[2023-07-09T08:51:38.074+0000] {warnings.py:110} WARNING - /opt/***/dags/test.py:73: FutureWarning: Dropping of nuisance columns in DataFrame reductions (with 'numeric_only=None') is deprecated; in a future version this will raise TypeError.  Select only valid columns before calling the reduction.
  df.fillna(df.mean(), inplace=True)
[2023-07-09T08:51:38.122+0000] {logging_mixin.py:149} INFO - Element at index 0, column Duration: 0
[2023-07-09T08:51:38.123+0000] {logging_mixin.py:149} INFO - Element at index 0, column Latitude: -92.27449074299966
[2023-07-09T08:51:38.123+0000] {logging_mixin.py:149} INFO - Element at index 0, column Longitude: 34.74865012400045
[2023-07-09T08:51:38.124+0000] {logging_mixin.py:149} INFO - Element at index 0, column PCA1: 2.3291918185623466
[2023-07-09T08:51:38.125+0000] {logging_mixin.py:149} INFO - Element at index 0, column PCA2: -2.050248660609724
[2023-07-09T08:51:38.125+0000] {logging_mixin.py:149} INFO - Element at index 1, column LocationAbbr: CO
[2023-07-09T08:51:38.126+0000] {logging_mixin.py:149} INFO - Element at index 1, column LocationDesc: Colorado
[2023-07-09T08:51:38.126+0000] {logging_mixin.py:149} INFO - Element at index 1, column DataSource: SEDD; SID
[2023-07-09T08:51:38.127+0000] {logging_mixin.py:149} INFO - Element at index 1, column Topic: Asthma
[2023-07-09T08:51:38.127+0000] {logging_mixin.py:149} INFO - Element at index 1, column Question: Hospitalizations for asthma
[2023-07-09T08:51:38.128+0000] {logging_mixin.py:149} INFO - Element at index 1, column Response: 
[2023-07-09T08:51:38.128+0000] {logging_mixin.py:149} INFO - Element at index 1, column DataValueUnit: 
[2023-07-09T08:51:38.129+0000] {logging_mixin.py:149} INFO - Element at index 1, column DataValueType: Number
[2023-07-09T08:51:38.130+0000] {logging_mixin.py:149} INFO - Element at index 1, column DataValue: 2227.0
[2023-07-09T08:51:38.130+0000] {logging_mixin.py:149} INFO - Element at index 1, column DataValueAlt: 2227.0
[2023-07-09T08:51:38.131+0000] {logging_mixin.py:149} INFO - Element at index 1, column DataValueFootnoteSymbol: 
[2023-07-09T08:51:38.132+0000] {logging_mixin.py:149} INFO - Element at index 1, column DatavalueFootnote: 
[2023-07-09T08:51:38.132+0000] {logging_mixin.py:149} INFO - Element at index 1, column LowConfidenceLimit: 
[2023-07-09T08:51:38.133+0000] {logging_mixin.py:149} INFO - Element at index 1, column HighConfidenceLimit: 
[2023-07-09T08:51:38.133+0000] {logging_mixin.py:149} INFO - Element at index 1, column StratificationCategory1: Overall
[2023-07-09T08:51:38.134+0000] {logging_mixin.py:149} INFO - Element at index 1, column Stratification1: Overall
[2023-07-09T08:51:38.134+0000] {logging_mixin.py:149} INFO - Element at index 1, column StratificationCategory2: 
[2023-07-09T08:51:38.135+0000] {logging_mixin.py:149} INFO - Element at index 1, column Stratification2: 
[2023-07-09T08:51:38.135+0000] {logging_mixin.py:149} INFO - Element at index 1, column StratificationCategory3: 
[2023-07-09T08:51:38.136+0000] {logging_mixin.py:149} INFO - Element at index 1, column Stratification3: 
[2023-07-09T08:51:38.137+0000] {logging_mixin.py:149} INFO - Element at index 1, column ResponseID: 
[2023-07-09T08:51:38.137+0000] {logging_mixin.py:149} INFO - Element at index 1, column LocationID: 8
[2023-07-09T08:51:38.138+0000] {logging_mixin.py:149} INFO - Element at index 1, column TopicID: AST
[2023-07-09T08:51:38.138+0000] {logging_mixin.py:149} INFO - Element at index 1, column QuestionID: AST3_1
[2023-07-09T08:51:38.139+0000] {logging_mixin.py:149} INFO - Element at index 1, column DataValueTypeID: NMBR
[2023-07-09T08:51:38.139+0000] {logging_mixin.py:149} INFO - Element at index 1, column StratificationCategoryID1: OVERALL
[2023-07-09T08:51:38.140+0000] {logging_mixin.py:149} INFO - Element at index 1, column StratificationID1: OVR
[2023-07-09T08:51:38.141+0000] {logging_mixin.py:149} INFO - Element at index 1, column StratificationCategoryID2: 
[2023-07-09T08:51:38.141+0000] {logging_mixin.py:149} INFO - Element at index 1, column StratificationID2: 
[2023-07-09T08:51:38.142+0000] {logging_mixin.py:149} INFO - Element at index 1, column StratificationCategoryID3: 
[2023-07-09T08:51:38.142+0000] {logging_mixin.py:149} INFO - Element at index 1, column StratificationID3: 
[2023-07-09T08:51:38.143+0000] {logging_mixin.py:149} INFO - Element at index 1, column Duration: 0
[2023-07-09T08:51:38.143+0000] {logging_mixin.py:149} INFO - Element at index 1, column Latitude: -106.13361092099967
[2023-07-09T08:51:38.144+0000] {logging_mixin.py:149} INFO - Element at index 1, column Longitude: 38.843840757000464
[2023-07-09T08:51:38.144+0000] {logging_mixin.py:149} INFO - Element at index 1, column PCA1: -11.989688420908653
[2023-07-09T08:51:38.145+0000] {logging_mixin.py:149} INFO - Element at index 1, column PCA2: -4.003570732502888
[2023-07-09T08:51:38.146+0000] {logging_mixin.py:149} INFO - Element at index 2, column LocationAbbr: DC
[2023-07-09T08:51:38.146+0000] {logging_mixin.py:149} INFO - Element at index 2, column LocationDesc: District of Columbia
[2023-07-09T08:51:38.147+0000] {logging_mixin.py:149} INFO - Element at index 2, column DataSource: SEDD; SID
[2023-07-09T08:51:38.148+0000] {logging_mixin.py:149} INFO - Element at index 2, column Topic: Asthma
[2023-07-09T08:51:38.148+0000] {logging_mixin.py:149} INFO - Element at index 2, column Question: Hospitalizations for asthma
[2023-07-09T08:51:38.149+0000] {logging_mixin.py:149} INFO - Element at index 2, column Response: 
[2023-07-09T08:51:38.149+0000] {logging_mixin.py:149} INFO - Element at index 2, column DataValueUnit: 
[2023-07-09T08:51:38.150+0000] {logging_mixin.py:149} INFO - Element at index 2, column DataValueType: Number
[2023-07-09T08:51:38.150+0000] {logging_mixin.py:149} INFO - Element at index 2, column DataValue: 708.0
[2023-07-09T08:51:38.151+0000] {logging_mixin.py:149} INFO - Element at index 2, column DataValueAlt: 708.0
[2023-07-09T08:51:38.152+0000] {logging_mixin.py:149} INFO - Element at index 2, column DataValueFootnoteSymbol: 
[2023-07-09T08:51:38.152+0000] {logging_mixin.py:149} INFO - Element at index 2, column DatavalueFootnote: 
[2023-07-09T08:51:38.153+0000] {logging_mixin.py:149} INFO - Element at index 2, column LowConfidenceLimit: 
[2023-07-09T08:51:38.154+0000] {logging_mixin.py:149} INFO - Element at index 2, column HighConfidenceLimit: 
[2023-07-09T08:51:38.155+0000] {logging_mixin.py:149} INFO - Element at index 2, column StratificationCategory1: Overall
[2023-07-09T08:51:38.155+0000] {logging_mixin.py:149} INFO - Element at index 2, column Stratification1: Overall
[2023-07-09T08:51:38.156+0000] {logging_mixin.py:149} INFO - Element at index 2, column StratificationCategory2: 
[2023-07-09T08:51:38.157+0000] {logging_mixin.py:149} INFO - Element at index 2, column Stratification2: 
[2023-07-09T08:51:38.158+0000] {logging_mixin.py:149} INFO - Element at index 2, column StratificationCategory3: 
[2023-07-09T08:51:38.158+0000] {logging_mixin.py:149} INFO - Element at index 2, column Stratification3: 
[2023-07-09T08:51:38.159+0000] {logging_mixin.py:149} INFO - Element at index 2, column ResponseID: 
[2023-07-09T08:51:38.160+0000] {logging_mixin.py:149} INFO - Element at index 2, column LocationID: 11
[2023-07-09T08:51:38.161+0000] {logging_mixin.py:149} INFO - Element at index 2, column TopicID: AST
[2023-07-09T08:51:38.162+0000] {logging_mixin.py:149} INFO - Element at index 2, column QuestionID: AST3_1
[2023-07-09T08:51:38.163+0000] {logging_mixin.py:149} INFO - Element at index 2, column DataValueTypeID: NMBR
[2023-07-09T08:51:38.163+0000] {logging_mixin.py:149} INFO - Element at index 2, column StratificationCategoryID1: OVERALL
[2023-07-09T08:51:38.164+0000] {logging_mixin.py:149} INFO - Element at index 2, column StratificationID1: OVR
[2023-07-09T08:51:38.165+0000] {logging_mixin.py:149} INFO - Element at index 2, column StratificationCategoryID2: 
[2023-07-09T08:51:38.166+0000] {logging_mixin.py:149} INFO - Element at index 2, column StratificationID2: 
[2023-07-09T08:51:38.167+0000] {logging_mixin.py:149} INFO - Element at index 2, column StratificationCategoryID3: 
[2023-07-09T08:51:38.167+0000] {logging_mixin.py:149} INFO - Element at index 2, column StratificationID3: 
[2023-07-09T08:51:38.168+0000] {logging_mixin.py:149} INFO - Element at index 2, column Duration: 0
[2023-07-09T08:51:38.169+0000] {logging_mixin.py:149} INFO - Element at index 2, column Latitude: -77.036871
[2023-07-09T08:51:38.169+0000] {logging_mixin.py:149} INFO - Element at index 2, column Longitude: 38.907192
[2023-07-09T08:51:38.170+0000] {logging_mixin.py:149} INFO - Element at index 2, column PCA1: 14.517820677339817
[2023-07-09T08:51:38.171+0000] {logging_mixin.py:149} INFO - Element at index 2, column PCA2: 7.9954395940432
[2023-07-09T08:51:38.172+0000] {logging_mixin.py:149} INFO - Element at index 3, column LocationAbbr: GA
[2023-07-09T08:51:38.173+0000] {logging_mixin.py:149} INFO - Element at index 3, column LocationDesc: Georgia
[2023-07-09T08:51:38.174+0000] {logging_mixin.py:149} INFO - Element at index 3, column DataSource: SEDD; SID
[2023-07-09T08:51:38.174+0000] {logging_mixin.py:149} INFO - Element at index 3, column Topic: Asthma
[2023-07-09T08:51:38.175+0000] {logging_mixin.py:149} INFO - Element at index 3, column Question: Hospitalizations for asthma
[2023-07-09T08:51:38.175+0000] {logging_mixin.py:149} INFO - Element at index 3, column Response: 
[2023-07-09T08:51:38.176+0000] {logging_mixin.py:149} INFO - Element at index 3, column DataValueUnit: 
[2023-07-09T08:51:38.176+0000] {logging_mixin.py:149} INFO - Element at index 3, column DataValueType: Number
[2023-07-09T08:51:38.177+0000] {logging_mixin.py:149} INFO - Element at index 3, column DataValue: 3520.0
[2023-07-09T08:51:38.177+0000] {logging_mixin.py:149} INFO - Element at index 3, column DataValueAlt: 3520.0
[2023-07-09T08:51:38.178+0000] {logging_mixin.py:149} INFO - Element at index 3, column DataValueFootnoteSymbol: 
[2023-07-09T08:51:38.179+0000] {logging_mixin.py:149} INFO - Element at index 3, column DatavalueFootnote: 
[2023-07-09T08:51:38.179+0000] {logging_mixin.py:149} INFO - Element at index 3, column LowConfidenceLimit: 
[2023-07-09T08:51:38.180+0000] {logging_mixin.py:149} INFO - Element at index 3, column HighConfidenceLimit: 
[2023-07-09T08:51:38.180+0000] {logging_mixin.py:149} INFO - Element at index 3, column StratificationCategory1: Gender
[2023-07-09T08:51:38.181+0000] {logging_mixin.py:149} INFO - Element at index 3, column Stratification1: Female
[2023-07-09T08:51:38.182+0000] {logging_mixin.py:149} INFO - Element at index 3, column StratificationCategory2: 
[2023-07-09T08:51:38.182+0000] {logging_mixin.py:149} INFO - Element at index 3, column Stratification2: 
[2023-07-09T08:51:38.183+0000] {logging_mixin.py:149} INFO - Element at index 3, column StratificationCategory3: 
[2023-07-09T08:51:38.183+0000] {logging_mixin.py:149} INFO - Element at index 3, column Stratification3: 
[2023-07-09T08:51:38.184+0000] {logging_mixin.py:149} INFO - Element at index 3, column ResponseID: 
[2023-07-09T08:51:38.184+0000] {logging_mixin.py:149} INFO - Element at index 3, column LocationID: 13
[2023-07-09T08:51:38.185+0000] {logging_mixin.py:149} INFO - Element at index 3, column TopicID: AST
[2023-07-09T08:51:38.186+0000] {logging_mixin.py:149} INFO - Element at index 3, column QuestionID: AST3_1
[2023-07-09T08:51:38.186+0000] {logging_mixin.py:149} INFO - Element at index 3, column DataValueTypeID: NMBR
[2023-07-09T08:51:38.187+0000] {logging_mixin.py:149} INFO - Element at index 3, column StratificationCategoryID1: GENDER
[2023-07-09T08:51:38.188+0000] {logging_mixin.py:149} INFO - Element at index 3, column StratificationID1: GENF
[2023-07-09T08:51:38.188+0000] {logging_mixin.py:149} INFO - Element at index 3, column StratificationCategoryID2: 
[2023-07-09T08:51:38.189+0000] {logging_mixin.py:149} INFO - Element at index 3, column StratificationID2: 
[2023-07-09T08:51:38.190+0000] {logging_mixin.py:149} INFO - Element at index 3, column StratificationCategoryID3: 
[2023-07-09T08:51:38.191+0000] {logging_mixin.py:149} INFO - Element at index 3, column StratificationID3: 
[2023-07-09T08:51:38.192+0000] {logging_mixin.py:149} INFO - Element at index 3, column Duration: 0
[2023-07-09T08:51:38.193+0000] {logging_mixin.py:149} INFO - Element at index 3, column Latitude: -83.62758034599966
[2023-07-09T08:51:38.194+0000] {logging_mixin.py:149} INFO - Element at index 3, column Longitude: 32.83968109300048
[2023-07-09T08:51:38.195+0000] {logging_mixin.py:149} INFO - Element at index 3, column PCA1: 10.997803036494114
[2023-07-09T08:51:38.195+0000] {logging_mixin.py:149} INFO - Element at index 3, column PCA2: -0.24237650600057764
[2023-07-09T08:51:38.196+0000] {logging_mixin.py:149} INFO - Element at index 4, column LocationAbbr: MI
[2023-07-09T08:51:38.197+0000] {logging_mixin.py:149} INFO - Element at index 4, column LocationDesc: Michigan
[2023-07-09T08:51:38.198+0000] {logging_mixin.py:149} INFO - Element at index 4, column DataSource: SEDD; SID
[2023-07-09T08:51:38.199+0000] {logging_mixin.py:149} INFO - Element at index 4, column Topic: Asthma
[2023-07-09T08:51:38.199+0000] {logging_mixin.py:149} INFO - Element at index 4, column Question: Hospitalizations for asthma
[2023-07-09T08:51:38.200+0000] {logging_mixin.py:149} INFO - Element at index 4, column Response: 
[2023-07-09T08:51:38.201+0000] {logging_mixin.py:149} INFO - Element at index 4, column DataValueUnit: 
[2023-07-09T08:51:38.202+0000] {logging_mixin.py:149} INFO - Element at index 4, column DataValueType: Number
[2023-07-09T08:51:38.203+0000] {logging_mixin.py:149} INFO - Element at index 4, column DataValue: 123.0
[2023-07-09T08:51:38.203+0000] {logging_mixin.py:149} INFO - Element at index 4, column DataValueAlt: 123.0
[2023-07-09T08:51:38.204+0000] {logging_mixin.py:149} INFO - Element at index 4, column DataValueFootnoteSymbol: 
[2023-07-09T08:51:38.205+0000] {logging_mixin.py:149} INFO - Element at index 4, column DatavalueFootnote: 
[2023-07-09T08:51:38.206+0000] {logging_mixin.py:149} INFO - Element at index 4, column LowConfidenceLimit: 
[2023-07-09T08:51:38.207+0000] {logging_mixin.py:149} INFO - Element at index 4, column HighConfidenceLimit: 
[2023-07-09T08:51:38.208+0000] {logging_mixin.py:149} INFO - Element at index 4, column StratificationCategory1: Race/Ethnicity
[2023-07-09T08:51:38.208+0000] {logging_mixin.py:149} INFO - Element at index 4, column Stratification1: Hispanic
[2023-07-09T08:51:38.209+0000] {logging_mixin.py:149} INFO - Element at index 4, column StratificationCategory2: 
[2023-07-09T08:51:38.209+0000] {logging_mixin.py:149} INFO - Element at index 4, column Stratification2: 
[2023-07-09T08:51:38.210+0000] {logging_mixin.py:149} INFO - Element at index 4, column StratificationCategory3: 
[2023-07-09T08:51:38.211+0000] {logging_mixin.py:149} INFO - Element at index 4, column Stratification3: 
[2023-07-09T08:51:38.212+0000] {logging_mixin.py:149} INFO - Element at index 4, column ResponseID: 
[2023-07-09T08:51:38.213+0000] {logging_mixin.py:149} INFO - Element at index 4, column LocationID: 26
[2023-07-09T08:51:38.214+0000] {logging_mixin.py:149} INFO - Element at index 4, column TopicID: AST
[2023-07-09T08:51:38.215+0000] {logging_mixin.py:149} INFO - Element at index 4, column QuestionID: AST3_1
[2023-07-09T08:51:38.216+0000] {logging_mixin.py:149} INFO - Element at index 4, column DataValueTypeID: NMBR
[2023-07-09T08:51:38.217+0000] {logging_mixin.py:149} INFO - Element at index 4, column StratificationCategoryID1: RACE
[2023-07-09T08:51:38.218+0000] {logging_mixin.py:149} INFO - Element at index 4, column StratificationID1: HIS
[2023-07-09T08:51:38.220+0000] {logging_mixin.py:149} INFO - Element at index 4, column StratificationCategoryID2: 
[2023-07-09T08:51:38.221+0000] {logging_mixin.py:149} INFO - Element at index 4, column StratificationID2: 
[2023-07-09T08:51:38.221+0000] {logging_mixin.py:149} INFO - Element at index 4, column StratificationCategoryID3: 
[2023-07-09T08:51:38.222+0000] {logging_mixin.py:149} INFO - Element at index 4, column StratificationID3: 
[2023-07-09T08:51:38.223+0000] {logging_mixin.py:149} INFO - Element at index 4, column Duration: 0
[2023-07-09T08:51:38.224+0000] {logging_mixin.py:149} INFO - Element at index 4, column Latitude: -84.71439026999968
[2023-07-09T08:51:38.224+0000] {logging_mixin.py:149} INFO - Element at index 4, column Longitude: 44.6613195430005
[2023-07-09T08:51:38.225+0000] {logging_mixin.py:149} INFO - Element at index 4, column PCA1: 5.155158757553007
[2023-07-09T08:51:38.226+0000] {logging_mixin.py:149} INFO - Element at index 4, column PCA2: 10.091828798868333
[2023-07-09T08:51:38.227+0000] {logging_mixin.py:149} INFO - Element at index 6, column LocationAbbr: OR
[2023-07-09T08:51:38.229+0000] {logging_mixin.py:149} INFO - Element at index 6, column LocationDesc: Oregon
[2023-07-09T08:51:38.229+0000] {logging_mixin.py:149} INFO - Element at index 6, column DataSource: SEDD; SID
[2023-07-09T08:51:38.230+0000] {logging_mixin.py:149} INFO - Element at index 6, column Topic: Asthma
[2023-07-09T08:51:38.231+0000] {logging_mixin.py:149} INFO - Element at index 6, column Question: Hospitalizations for asthma
[2023-07-09T08:51:38.232+0000] {logging_mixin.py:149} INFO - Element at index 6, column Response: 
[2023-07-09T08:51:38.233+0000] {logging_mixin.py:149} INFO - Element at index 6, column DataValueUnit: 
[2023-07-09T08:51:38.234+0000] {logging_mixin.py:149} INFO - Element at index 6, column DataValueType: Number
[2023-07-09T08:51:38.234+0000] {logging_mixin.py:149} INFO - Element at index 6, column DataValue: 760.0
[2023-07-09T08:51:38.235+0000] {logging_mixin.py:149} INFO - Element at index 6, column DataValueAlt: 760.0
[2023-07-09T08:51:38.236+0000] {logging_mixin.py:149} INFO - Element at index 6, column DataValueFootnoteSymbol: 
[2023-07-09T08:51:38.237+0000] {logging_mixin.py:149} INFO - Element at index 6, column DatavalueFootnote: 
[2023-07-09T08:51:38.238+0000] {logging_mixin.py:149} INFO - Element at index 6, column LowConfidenceLimit: 
[2023-07-09T08:51:38.239+0000] {logging_mixin.py:149} INFO - Element at index 6, column HighConfidenceLimit: 
[2023-07-09T08:51:38.240+0000] {logging_mixin.py:149} INFO - Element at index 6, column StratificationCategory1: Gender
[2023-07-09T08:51:38.240+0000] {logging_mixin.py:149} INFO - Element at index 6, column Stratification1: Male
[2023-07-09T08:51:38.241+0000] {logging_mixin.py:149} INFO - Element at index 6, column StratificationCategory2: 
[2023-07-09T08:51:38.242+0000] {logging_mixin.py:149} INFO - Element at index 6, column Stratification2: 
[2023-07-09T08:51:38.243+0000] {logging_mixin.py:149} INFO - Element at index 6, column StratificationCategory3: 
[2023-07-09T08:51:38.244+0000] {logging_mixin.py:149} INFO - Element at index 6, column Stratification3: 
[2023-07-09T08:51:38.244+0000] {logging_mixin.py:149} INFO - Element at index 6, column ResponseID: 
[2023-07-09T08:51:38.245+0000] {logging_mixin.py:149} INFO - Element at index 6, column LocationID: 41
[2023-07-09T08:51:38.246+0000] {logging_mixin.py:149} INFO - Element at index 6, column TopicID: AST
[2023-07-09T08:51:38.247+0000] {logging_mixin.py:149} INFO - Element at index 6, column QuestionID: AST3_1
[2023-07-09T08:51:38.248+0000] {logging_mixin.py:149} INFO - Element at index 6, column DataValueTypeID: NMBR
[2023-07-09T08:51:38.249+0000] {logging_mixin.py:149} INFO - Element at index 6, column StratificationCategoryID1: GENDER
[2023-07-09T08:51:38.250+0000] {logging_mixin.py:149} INFO - Element at index 6, column StratificationID1: GENM
[2023-07-09T08:51:38.251+0000] {logging_mixin.py:149} INFO - Element at index 6, column StratificationCategoryID2: 
[2023-07-09T08:51:38.252+0000] {logging_mixin.py:149} INFO - Element at index 6, column StratificationID2: 
[2023-07-09T08:51:38.253+0000] {logging_mixin.py:149} INFO - Element at index 6, column StratificationCategoryID3: 
[2023-07-09T08:51:38.254+0000] {logging_mixin.py:149} INFO - Element at index 6, column StratificationID3: 
[2023-07-09T08:51:38.254+0000] {logging_mixin.py:149} INFO - Element at index 6, column Duration: 0
[2023-07-09T08:51:38.255+0000] {logging_mixin.py:149} INFO - Element at index 6, column Latitude: -120.15503132599969
[2023-07-09T08:51:38.256+0000] {logging_mixin.py:149} INFO - Element at index 6, column Longitude: 44.56744942400047
[2023-07-09T08:51:38.257+0000] {logging_mixin.py:149} INFO - Element at index 6, column PCA1: -27.124870586558036
[2023-07-09T08:51:38.258+0000] {logging_mixin.py:149} INFO - Element at index 6, column PCA2: -4.538535366209853
